datetime_local,pm25,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,boundary_layer_height,hour,day_of_week,month,is_weekend,is_rush_hour,is_dry_season,hour_sin,hour_cos,month_sin,month_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_roll_6h_mean,pm25_roll_6h_std,pm25_roll_12h_mean,pm25_roll_12h_std,pm25_roll_24h_mean,pm25_roll_24h_std,pm25_roll_48h_mean,pm25_roll_48h_std,pm25_roll_72h_mean,pm25_roll_72h_std,is_raining,hours_since_last_rain,wind_u,wind_v,pm25_diff_1h,pm25_diff_24h,pressure_trend_3h,wind_condition_encoded
2025-06-09 09:00:00+07:00,26.1883993405376,28.753807106598988,80.4517766497462,0.1,1007.023350253807,7.788832487309644,602.6395939086294,9,0,6,0,1,0,0.7071067811865476,-0.7071067811865475,0.4999999999999999,-0.8660254037844387,26.187501054608884,26.186602768680167,26.18570448275145,26.1830096249653,26.177619909393,26.166840478248403,31.16262499491373,29.61187489827474,26.18615362571581,0.0016805354703607,26.18345876792966,0.0032388138720906,26.17806905235736,0.0063518399806746,26.35013152371506,0.7373755007320884,28.09844475020298,5.948499647521463,1,0,-6.540895104596335,-4.228782655332127,0.0008982859287165,0.0215588622891971,0.015228426395879,2
2025-06-09 10:00:00+07:00,26.18929762646632,28.745939086294417,80.48477157360406,0.1,1007.028426395939,7.788578680203045,602.0177664974619,10,0,6,0,0,0,0.4999999999999999,-0.8660254037844387,0.4999999999999999,-0.8660254037844387,26.1883993405376,26.187501054608884,26.186602768680167,26.183907910894018,26.17851819532172,26.16773876417712,29.270708560943604,23.328999996185303,26.187051911644527,0.0016805354704151,26.184357053858378,0.0032388138720929,26.178967338286075,0.0063518399807245,26.28593546258012,0.598815256456193,28.138171106179108,5.925706260031534,1,0,-6.542554513290499,-4.225747069848777,0.00089828592872,0.0215588622892006,0.015228426395879,2
2025-06-09 11:00:00+07:00,26.19019591239504,28.73807106598985,80.51776649746193,0.1,1007.033502538071,7.788324873096447,601.3959390862944,11,0,6,0,0,0,0.258819045102521,-0.9659258262890682,0.4999999999999999,-0.8660254037844387,26.18929762646632,26.1883993405376,26.187501054608884,26.18480619682273,26.179416481250435,26.16863705010584,29.914999961853027,19.18904177347819,26.187950197573244,0.0016805354704685,26.18525533978709,0.0032388138720952,26.179865624214795,0.0063518399807747,26.208335378216407,0.2690905980176623,28.23540935810851,5.83351237882208,1,0,-6.544212516148308,-4.2227108440409005,0.0008982859287165,0.0215588622891971,0.0152284263959927,2
2025-06-09 12:00:00+07:00,26.19109419832375,28.73020304568528,80.55076142131979,0.1,1007.038578680203,7.788071065989848,600.774111675127,12,0,6,0,0,0,1.2246467991473532e-16,-1.0,0.4999999999999999,-0.8660254037844387,26.19019591239504,26.18929762646632,26.1883993405376,26.18570448275145,26.18031476717915,26.16953533603456,28.03193736076355,20.930583318074543,26.18884848350196,0.0016805354705218,26.186153625715807,0.003238813872097,26.180763910143508,0.0063518399808246,26.169984478998916,0.012576002296381,28.30847200922308,5.773366396556517,1,0,-6.545869112928104,-4.219673978558307,0.0008982859287129,0.0215588622891935,0.0152284263959927,2
2025-06-09 13:00:00+07:00,26.191992484252467,28.722335025380712,80.58375634517766,0.1,1007.0436548223348,7.787817258883249,600.1522842639594,13,0,6,0,0,0,-0.2588190451025208,-0.9659258262890684,0.4999999999999999,-0.8660254037844387,26.19109419832375,26.19019591239504,26.18929762646632,26.186602768680167,26.181213053107868,26.17043362196327,26.148874759674072,22.816791852315266,26.189746769430677,0.0016805354705752,26.187051911644527,0.0032388138720988,26.181662196072224,0.0063518399808742,26.17088276492763,0.0125760022963863,28.35534979577777,5.741764022836968,1,0,-6.547524303388524,-4.216636474050901,0.0008982859287165,0.0215588622891971,0.0152284263957653,2
2025-06-09 14:00:00+07:00,26.192890770181183,28.714467005076145,80.61675126903553,0.1,1007.0487309644668,7.787563451776649,599.5304568527919,14,0,6,0,0,0,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,-0.8660254037844387,26.191992484252467,26.19109419832375,26.19019591239504,26.187501054608884,26.182111339036584,26.171331907891982,26.14977304560279,14.365125020345053,26.190645055359397,0.0016805354706286,26.187950197573244,0.0032388138721006,26.18256048200094,0.0063518399809236,26.171781050856342,0.0125760022963916,28.519624320081043,5.499967323652269,1,0,-6.549178087288502,-4.213598331168688,0.0008982859287165,0.0215588622892006,0.0152284263957653,2
2025-06-09 15:00:00+07:00,26.193789056109896,28.70659898477157,80.6497461928934,0.1,1007.0538071065988,7.78730964467005,598.9086294416244,15,0,6,0,0,0,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,-0.8660254037844387,26.192890770181183,26.191992484252467,26.19109419832375,26.1883993405376,26.1830096249653,26.172230193820702,26.150671331531505,17.01133330663045,26.19154334128811,0.0016805354706809,26.18884848350196,0.0032388138721018,26.18345876792966,0.006351839980973,26.172679336785063,0.0125760022963968,28.6471584277127,5.333289225251741,1,0,-6.5508304643872775,-4.210559550561749,0.0008982859287129,0.0215588622891935,0.0152284263957653,2
2025-06-09 16:00:00+07:00,26.194687342038613,28.698730964467007,80.68274111675127,0.1,1007.0588832487308,7.787055837563452,598.2868020304569,16,0,6,0,0,0,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,-0.8660254037844387,26.193789056109896,26.192890770181183,26.191992484252467,26.18929762646632,26.183907910894018,26.17312847974942,26.151569617460225,23.71291669209798,26.192441627216823,0.0016805354707342,26.189746769430677,0.0032388138721031,26.184357053858378,0.0063518399810224,26.17357762271378,0.0125760022964021,28.681627464517437,5.308914214670603,1,0,-6.552481434444382,-4.207520132880261,0.0008982859287165,0.0215588622891935,0.0152284263959927,2
2025-06-09 17:00:00+07:00,26.19558562796733,28.69086294416244,80.71573604060913,0.1,1007.0639593908628,7.786802030456853,597.6649746192893,17,0,6,0,1,0,-0.9659258262890684,-0.2588190451025206,0.4999999999999999,-0.8660254037844387,26.194687342038613,26.193789056109896,26.192890770181183,26.19019591239504,26.18480619682273,26.174026765678136,26.15246790338894,21.375624974568684,26.19333991314554,0.0016805354707876,26.190645055359383,0.0032388138721039,26.18525533978709,0.0063518399810718,26.17447590864249,0.0125760022964073,28.748571362481307,5.245500478982925,1,0,-6.55413099721966,-4.2044800787744725,0.0008982859287165,0.0215588622891935,0.0152284263959927,2
2025-06-09 18:00:00+07:00,26.19648391389605,28.68299492385787,80.748730964467,0.1,1007.0690355329948,7.786548223350254,597.0431472081218,18,0,6,0,1,0,-1.0,-1.8369701987210294e-16,0.4999999999999999,-0.8660254037844387,26.19558562796733,26.194687342038613,26.193789056109896,26.19109419832375,26.18570448275145,26.17492505160685,26.15336618931765,38.76466703414917,26.19423819907426,0.001680535470841,26.19154334128811,0.0032388138721057,26.186153625715807,0.0063518399811211,26.17537419457121,0.0125760022964125,28.5740132635889,5.114989907077624,1,0,-6.555779152473243,-4.201439388894738,0.00089828592872,0.0215588622892006,0.0152284263959927,2
2025-06-09 19:00:00+07:00,26.19738219982476,28.675126903553306,80.78172588832487,0.1,1007.0741116751268,7.7862944162436545,596.4213197969543,19,0,6,0,1,0,-0.9659258262890684,0.2588190451025203,0.4999999999999999,-0.8660254037844387,26.19648391389605,26.19558562796733,26.194687342038613,26.191992484252467,26.186602768680167,26.17582333753557,26.15426447524637,40.73041693369547,26.195136485002973,0.0016805354708922,26.192441627216823,0.0032388138721067,26.187051911644527,0.0063518399811703,26.17627248049993,0.0125760022964176,28.372165558951806,4.911209382533633,1,0,-6.557425899965572,-4.19839806389149,0.0008982859287094,0.02155886228919,0.0152284263959927,2
2025-06-09 20:00:00+07:00,26.19828048575348,28.66725888324873,80.81472081218274,0.1,1007.0791878172588,7.786040609137055,595.7994923857868,20,0,6,0,0,0,-0.8660254037844386,0.5000000000000001,0.4999999999999999,-0.8660254037844387,26.19738219982476,26.19648391389605,26.19558562796733,26.192890770181183,26.187501054608884,26.176721623464285,26.155162761175088,43.3280413945516,26.19603477093169,0.0016805354709445,26.193339913145536,0.003238813872109,26.18795019757324,0.0063518399812197,26.17717076642864,0.0125760022964228,28.13425221299628,4.580255489988541,1,0,-6.55907123945738,-4.195356104415258,0.00089828592872,0.0215588622891935,0.0152284263959927,2
2025-06-09 21:00:00+07:00,26.199178771682195,28.659390862944164,80.84771573604061,0.1,1007.0842639593908,7.785786802030457,595.1776649746193,21,0,6,0,0,0,-0.7071067811865477,0.7071067811865474,0.4999999999999999,-0.8660254037844387,26.19828048575348,26.19738219982476,26.19648391389605,26.193789056109896,26.1883993405376,26.177619909393,26.156061047103805,43.88045851389567,26.19693305686041,0.0016805354709958,26.19423819907426,0.0032388138721113,26.18884848350196,0.006351839981269,26.17806905235736,0.012576002296428,27.888678883243312,4.180690034552841,1,0,-6.560715170709709,-4.192313511116641,0.0008982859287165,0.0215588622891935,0.0152284263959927,2
2025-06-09 22:00:00+07:00,26.200077057610912,28.6515228426396,80.88071065989848,0.1,1007.0893401015228,7.785532994923858,594.5558375634517,22,0,6,0,0,0,-0.5000000000000004,0.8660254037844384,0.4999999999999999,-0.8660254037844387,26.199178771682195,26.19828048575348,26.19738219982476,26.194687342038613,26.18929762646632,26.17851819532172,26.15695933303252,34.509874979654946,26.19783134278913,0.0016805354710471,26.195136485002973,0.0032388138721141,26.189746769430677,0.0063518399813184,26.178967338286075,0.0125760022964331,27.77326502321492,4.109422500189998,1,0,-6.56235769348389,-4.189270284646341,0.0008982859287165,0.0215588622891935,0.0152284263959927,2
2025-06-09 23:00:00+07:00,26.20097534353963,28.643654822335023,80.91370558375634,0.1,1007.0944162436548,7.785279187817259,593.9340101522843,23,0,6,0,0,0,-0.2588190451025215,0.965925826289068,0.4999999999999999,-0.8660254037844387,26.200077057610912,26.199178771682195,26.19828048575348,26.19558562796733,26.19019591239504,26.179416481250435,26.15785761896124,31.712374528249104,26.19872962871784,0.0016805354710984,26.19603477093169,0.0032388138721169,26.190645055359397,0.0063518399813678,26.179865624214795,0.0125760022964385,27.69671781231618,4.0862802261463695,1,0,-6.563998807541559,-4.186226425655156,0.0008982859287165,0.0215588622891935,0.0152284263959927,2
2025-06-10 00:00:00+07:00,26.201873629468345,28.63578680203046,80.94670050761421,0.1,1007.0994923857868,7.7850253807106595,593.3121827411168,0,1,6,0,0,0,0.0,1.0,0.4999999999999999,-0.8660254037844387,26.20097534353963,26.200077057610912,26.199178771682195,26.19648391389605,26.19109419832375,26.18031476717915,26.158755904889954,41.64637533823649,26.199627914646552,0.0016805354711507,26.19693305686041,0.0032388138721193,26.191543341288103,0.0063518399814172,26.180763910143508,0.0125760022964437,27.48221084413884,3.7338655213760656,1,0,-6.565638512644662,-4.183181934793937,0.0008982859287165,0.0215588622891935,0.0152284263959927,2
