datetime_local,pm1,pm25,relativehumidity,temperature,um003,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,boundary_layer_height
2025-06-20T09:00:00Z,16.70217386175533,26.431834827219774,57.47984000107561,29.232818766092084,3331.4816541332884,28.83756345177665,73.61421319796955,0.6208121827411168,1005.2017766497462,13.572842639593908,203.69543147208122,690.5837563451777
2025-06-20T10:00:00Z,16.697627985901033,26.43273311314849,57.477921769582686,29.23212612607152,3331.9186593457525,28.849746192893402,73.54314720812184,0.616751269035533,1005.1928934010152,13.608629441624362,204.21827411167513,692.6649746192893
2025-06-20T11:00:00Z,16.693082110046735,26.433631399077207,57.47600353808976,29.23143348605096,3332.355664558217,28.86192893401015,73.47208121827411,0.6126903553299492,1005.1840101522843,13.64441624365482,204.74111675126903,694.746192893401
2025-06-20T12:00:00Z,16.688536234192433,26.434529685005923,57.47408530659684,29.2307408460304,3332.792669770681,28.874111675126905,73.40101522842639,0.6086294416243656,1005.1751269035533,13.680203045685278,205.26395939086294,696.8274111675127
2025-06-20T13:00:00Z,16.683990358338136,26.43542797093464,57.47216707510392,29.23004820600984,3333.2296749831457,28.886294416243654,73.32994923857868,0.6045685279187816,1005.1662436548223,13.715989847715736,205.78680203045687,698.9086294416244
2025-06-20T14:00:00Z,16.679444482483838,26.436326256863357,57.470248843610996,29.229355565989277,3333.66668019561,28.898477157360407,73.25888324873097,0.600507614213198,1005.1573604060914,13.75177664974619,206.30964467005077,700.989847715736
2025-06-20T15:00:00Z,16.67489860662954,26.437224542792073,57.46833061211807,29.228662925968717,3334.1036854080744,28.910659898477157,73.18781725888324,0.5964467005076142,1005.1484771573604,13.787563451776649,206.83248730964468,703.0710659898477
2025-06-20T16:00:00Z,16.670352730775242,26.43812282872079,57.46641238062515,29.227970285948157,3334.5406906205385,28.92284263959391,73.11675126903553,0.5923857868020304,1005.1395939086294,13.823350253807106,207.35532994923858,705.1522842639594
2025-06-20T17:00:00Z,16.66580685492094,26.439021114649506,57.46449414913223,29.227277645927597,3334.977695833003,28.93502538071066,73.04568527918782,0.5883248730964468,1005.1307106598985,13.85913705583756,207.87817258883248,707.233502538071
2025-06-20T18:00:00Z,16.661260979066643,26.439919400578223,57.462575917639306,29.226585005907033,3335.414701045467,28.947208121827412,72.9746192893401,0.584263959390863,1005.1218274111675,13.894923857868019,208.4010152284264,709.3147208121827
