datetime_local,pm1,pm25,relativehumidity,temperature,um003,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,boundary_layer_height
2025-03-04T06:00:00Z,17.153916835784912,23.5217080116272,30.82804155349731,37.65475050608317,3015.1812540690103,24.4,96,0,1008.9,3.4,212,110
2025-03-04T07:00:00Z,15.965791702270508,21.47600015004476,28.6716251373291,39.80179150899252,2820.375,25.1,91,0,1009.3,5,167,275
2025-03-04T08:00:00Z,17.92033314704895,24.33645836512248,27.540291786193848,41.48133373260498,3172.2625122070313,27.4,79,0,1010.2,6.2,139,590
2025-03-04T09:00:00Z,23.13166697820028,34.30195840199789,32.29695781071981,39.3061253229777,4502.0146891276045,29.2,67,0,1010.5,6.6,135,840
2025-03-04T10:00:00Z,21.06883335113525,30.684958299001057,29.372583230336502,40.04779179890951,3969.0999959309897,31.1,56,0,1010.5,6.3,141,1085
2025-03-04T11:00:00Z,18.02154151598613,25.957916418711346,32.85758320490519,37.40387503306071,3227.764587402344,32.8,48,0,1009.7,6.6,139,1365
2025-03-04T12:00:00Z,16.712583303451538,23.550291538238525,35.22495810190836,36.22879123687744,2979.1499837239585,34.3,42,0,1008.6,6.5,132,1720
2025-03-04T13:00:00Z,17.190041700998943,24.96112489700317,44.18191623687744,32.03712479273478,3026.652058919271,35.2,41,0,1007.3,5.5,139,1845
2025-03-04T14:00:00Z,22.026208480199177,31.378458340962727,43.462833404541016,32.75079186757406,4560.1666259765625,35.5,41,0,1005.9,6.5,150,1925
2025-03-04T15:00:00Z,15.13170838356018,21.187291622161865,46.17729187011719,31.509582996368408,2651.6750284830728,35.1,42,0,1004.9,8.2,157,1880
2025-03-04T16:00:00Z,17.230250120162964,24.17491642634074,51.02491696675619,29.94133313496907,2955.7249959309897,34.3,45,0,1004.7,8.4,155,1745
2025-03-04T17:00:00Z,13.317166646321615,18.574374834696453,53.909416834513344,29.24250014623006,2356.7625122070313,33,48,0,1005,10.2,138,1430
2025-03-04T18:00:00Z,12.110513925552368,17.074722448984783,54.278361320495605,29.08258358637492,2123.4777628580728,30.6,56,0,1005.6,14.5,136,495
2025-03-04T19:00:00Z,11.411250034968058,15.491180499394735,54.89632002512614,28.84791628519694,1981.638895670573,28.9,64,0,1006,11.5,140,335
2025-03-04T20:00:00Z,10.223791678746542,14.024916569391886,55.76104164123535,28.66645860671997,1814.308329264323,28,75,0,1007.1,11.5,136,355
2025-03-04T21:00:00Z,10.627041657765709,14.589499950408936,55.82966677347819,28.62095848719279,1866.3673706054688,27.4,80,0,1007.8,10.4,138,335
2025-03-04T22:00:00Z,13.025916814804075,17.61875009536743,56.06275018056234,28.602375030517575,2271.797912597656,26.9,84,0,1008,9.5,141,325
2025-03-04T23:00:00Z,18.382750034332275,26.26081927617391,55.50594425201416,28.74004173278809,3261.769470214844,26.4,87,0,1008.3,8.4,143,305
